Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Correspondence Address,Publisher,ISSN,ISBN,CODEN,Document Type,Source,EID
"Crush J., Frayne B., McCordic C.","7003748511;6507551740;56004012500;","Food and nutrition security in southern African cities",2017,"Food and Nutrition Security in Southern African Cities",4,"10.4324/9781315226651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046049829&doi=10.4324%2f9781315226651&partnerID=40&md5=8c742a1a0d4b77c3cf72edccc004f163","University of Cape Town, South Africa; School of Environment, Enterprise and Development (SEED), University of Waterloo's Faculty of Environment, Canada; Balsillie School of International Affairs, Wilfrid Laurier University, Waterloo, Canada","Crush, J., University of Cape Town, South Africa; Frayne, B., School of Environment, Enterprise and Development (SEED), University of Waterloo's Faculty of Environment, Canada; McCordic, C., Balsillie School of International Affairs, Wilfrid Laurier University, Waterloo, Canada","Urban population growth is extremely rapid across Africa and this book places urban food and nutrition security firmly on the development and policy agenda. It shows that current efforts to address food poverty in Africa that focus entirely on small-scale farmers, to the exclusion of broader socio-economic and infrastructural approaches, are misplaced and will remain largely ineffective in ameliorating food and nutrition insecurity for the majority of Africans. Using original data from the African Food Security Urban Network's (AFSUN) extensive database it is demonstrated that the primary food security challenge for urban households is access to food. Already linked into global food systems and value chains, Africa's supply of food is not necessarily in jeopardy. Rather, the widespread poverty and informal urban fabric that characterizes Africa's emerging cities impinge directly on households' capacity to access food that is readily available. Through the analysis of empirical data collected from 6,500 households in eleven cities in nine countries in Southern Africa, the authors identify the complexity of factors and dynamics that create the circumstances of widespread food and nutrition insecurity under which urban citizens live. They also provide useful policy approaches to address these conditions that currently thwart the latent development potential of Africa's expanding urban population. © 2018 selection and editorial matter, Bruce Frayne, Jonathan Crush and Cameron McCordic. All rights reserved.",,,,"Crush, J.; University of Cape TownSouth Africa","Taylor and Francis",,9781315226651; 9780415786782,,Book,Scopus,2-s2.0-85046049829
"Tsang Y.P., Choy K.L., Wu C.H., Ho G.T.S., Lam H.Y., Koo P.S.","57191666025;7005477047;55506191100;8348673600;57201769414;57200132550;","An IoT-based cargo monitoring system for enhancing operational effectiveness under a cold chain environment",2017,"International Journal of Engineering Business Management",25,"10.1177/1847979017749063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039850983&doi=10.1177%2f1847979017749063&partnerID=40&md5=08a8c82b3136560113467ae6dc4f9fa2","Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Department of Supply Chain and Information Management, Hang Seng Management College, Shatin, Hong Kong; AOC Limited, Mita Centre, Kwai Chung, Hong Kong","Tsang, Y.P., Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Choy, K.L., Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Wu, C.H., Department of Supply Chain and Information Management, Hang Seng Management College, Shatin, Hong Kong; Ho, G.T.S., Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Lam, H.Y., Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Koo, P.S., AOC Limited, Mita Centre, Kwai Chung, Hong Kong","Differing from managing a general supply chain, handling environmentally sensitive products (ESPs) requires the use of specific refrigeration systems to control the designated range of storage conditions, such as temperature, humidity, and lighting level in a cold chain environment. In general, third-party logistics (3PL) companies are authorized to handle ESPs, who therefore need to have a good cargo monitoring system in the cold chain environment, without which the functional quality is difficult to control and manage. This may result in product deterioration and even inventory obsolescence of the ESPs due to the lack of such systems, so there is a need to develop an effective cargo monitoring system to prevent such situations. This article proposes an Internet of Things-based cargo monitoring system (IoT-CMS) to monitor any environmental changes of ESPs in order to ensure their functional quality throughout the entire cold chain operational environment. Operational efficiency, maintenance strategy, environmental change, and electricity consumption are considered in real-life cold chain operations. Through applying (i) a wireless sensor network to collect real-time product information, together with (ii) fuzzy logic and case-based reasoning techniques to suggest appropriate storage conditions for various ESPs, effective storage guidance can be established. Through conducting the case study in a 3PL company in Hong Kong, the performance in customer satisfaction, obsolescence rate, and inventory visibility after adoption of IoT-CMS is evaluated. It is found that the functional quality of ESPs can be effectively assured, and the overall customer satisfaction is increased. © The Author(s) 2017.","Cargo monitoring; case-based reasoning; cold chain environment; fuzzy logic; Internet of Things",,"PolyU","Tsang, Y.P.; Department of Industrial and Systems Engineering, Hung Hom, Hong Kong; email: p.tsang@connect.polyu.hk","SAGE Publications Inc.",18479790,,,Article,Scopus,2-s2.0-85039850983
[No author name available],[No author id available],"2017 IEEE 28th Annual Software Technology Conference, STC 2017",2017,"2017 IEEE 28th Annual Software Technology Conference, STC 2017",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050200429&partnerID=40&md5=44026955df1292b60716d5acca9ed3ab",,"","The proceedings contain 16 papers. The topics discussed include: a light-weight incremental effort estimation model for use case driven projects; agile and other trends in software engineering; from continuous integration to continuous assurance; cryptography classes in bugs framework (BF): encryption bugs (ENC), verification bugs (VRF), and key management bugs (KMN); increasing test efficiency with automated feature-interaction-testing; building the network of things (NoT) graph; cyber defense via event-based modeling: an approach for modeling and querying system of systems behaviors for unwanted states; how does contributors involvement influence open source systems; covering arrays: evaluating coverage and diversity in the presence of disallowed combinations; a prototype tool for generating and executing test cases from UML-based interface behavior descriptions; assessing software supply chain risk using public data; rapid realization of executable domain models via automatic code generation; software development for medical devices: state of practice; defending android applications availability; and using MC/DC as a black-box testing technique.",,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781538610886,,Conference Review,Scopus,2-s2.0-85050200429
"Secomandi N.","6506411578;","Approximations for high dimensional commodity and energy merchant operations models",2017,"Foundations and Trends in Technology, Information and Operations Management",3,"10.1561/0200000080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039788219&doi=10.1561%2f0200000080&partnerID=40&md5=8b28709294f2ca33e8bdd182dcc824a6","Tepper School of Business, Carnegie Mellon University, Pittsburgh, PA, United States","Secomandi, N., Tepper School of Business, Carnegie Mellon University, Pittsburgh, PA, United States","Merchant operations is an approach to manage commodity and energy conversion assets modeled as real options. Firms operate networks of such assets, e.g., multiple wind or solar farms that generate electricity at different geographical locations, may be coupled with local grid-level energy storage facilities, and are connected to various wholesale power markets via capacitated transmission lines. The corresponding models are typically intractable. This work describes methods to compute approximate operating policies and assess their optimality gaps for such models. These approximations extend techniques developed for models of single commodity and energy conversion assets.",,"Electric energy storage; Energy conversion; Risk management; Supply chains; Generate electricity; Geographical locations; High-dimensional; Local grids; Operating policies; Optimality; Real Options; Storage facilities; Electric power transmission networks",,"Secomandi, N.; Tepper School of Business, United States; email: ns7@andrew.cmu.edu","Now Publishers Inc",15719545,,,Conference Paper,Scopus,2-s2.0-85039788219
"Korhonen K., Kotavaara O., Muilu T., Rusanen J.","57200382781;35772315700;6602393288;6601955741;","Accessibility of Local Food Production to Regional Markets - Case of Berry Production in Northern Ostrobothnia, Finland",2017,"European Countryside",10,"10.1515/euco-2017-0040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041059781&doi=10.1515%2feuco-2017-0040&partnerID=40&md5=1b8e3765103879ff2e26b377dfb1dc11","Natural Resources Institute Finland, University of Oulu, Paavo Havaksen tie 3, Oulu, FI-90014, Finland; Geography Research Unit, University of Oulu, P.O. Box 3000, Oulu, FI-90014, Finland","Korhonen, K., Natural Resources Institute Finland, University of Oulu, Paavo Havaksen tie 3, Oulu, FI-90014, Finland; Kotavaara, O., Geography Research Unit, University of Oulu, P.O. Box 3000, Oulu, FI-90014, Finland; Muilu, T., Natural Resources Institute Finland, University of Oulu, Paavo Havaksen tie 3, Oulu, FI-90014, Finland; Rusanen, J., Geography Research Unit, University of Oulu, P.O. Box 3000, Oulu, FI-90014, Finland","Consumers and institutional kitchens, as well as traders, have shown increasing interest towards local food. This is particularly due to the transparency and traceability characteristic of a short supply chain and social aspects related to food origins. The trend has been increasingly common during the past decade in Europe and North America, and it is strongly evident in the case area of this study in Northern Ostrobothnia, Finland. In general, ease of access to food is highly important for consumers and crucial for institutional kitchens, in addition to quality aspects and price. However, regardless of proximity, poor accessibility is one of the key issues preventing the further growth of local food markets. Due to scale economics in food value chain, food transport is presently organised mainly by centralised, large-scale logistics companies directed via hubs serving millions of consumers. Accordingly, production volumes required to enter large-scale markets are often unattainable for disjointed small-scale local food producers. In this study, geographic information system (GIS)-based accessibility analyses are applied for analysing potential for integral networking of local food production and transport companies. Berry production was selected as a case study because it has a relatively strong role in Northern Ostrobothnia, while its logistics are notably underdeveloped. Spatial data of primary production volumes consists of register records of farm-specific cultivation areas and average yields in Northern Ostrobothnia and Finland. Accessibility computations are based on the digital model of the Finnish road network, Digiroad. Two surveys were also implemented to farmers and food processing companies to seek views on food processing, sales, logistics and procurements regarding local food. Data from the surveys was used in accessibility analysis, which enables exploration of opportunities for establishing 'local food' clusters integrating small producers into a more effective and competitive network. Information about favourable conditions for cooperative networks in the local food sector may help in establishing companies and their growth. Again, successful networking may increase scale economies in local production in transport, processing and marketing. © by Kirsi Korhonen 2018.","accessibility; berry production; Finland; geographic information systems (GIS); local food; location allocation; Northern Ostrobothnia","accessibility; agricultural economics; food market; food processing; food production; food supply; fruit production; GIS; supply chain management; Finland; North America; Pohjois-Pohjanmaa","",,"Walter de Gruyter GmbH",18038417,,,Article,Scopus,2-s2.0-85041059781
"Ismail A.H., Mahardika R.Z.Z.","57209468474;57200106540;","Supplier selection in supply chain management using analytical network process for Indonesian cement industry",2017,"IOP Conference Series: Materials Science and Engineering",5,"10.1088/1757-899X/277/1/012063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039755236&doi=10.1088%2f1757-899X%2f277%2f1%2f012063&partnerID=40&md5=bdbd7b2847b02a550eee9986e39bcea8","Department of Industrial Engineering, Pancasila University, Jagakarsa, Jakarta, 12640, Indonesia","Ismail, A.H., Department of Industrial Engineering, Pancasila University, Jagakarsa, Jakarta, 12640, Indonesia; Mahardika, R.Z.Z., Department of Industrial Engineering, Pancasila University, Jagakarsa, Jakarta, 12640, Indonesia","Supply chain management has increased more significance with the impact of globalization. In the present worldwide market, well-managed supply chain is a standout amongst the most vital requirement to be more competitive in the market. For any organization incorporate cement industry, the most critical decision in initial process of supply chain management is to buy products, materials or services from suppliers. So the role of suppliers is irrefutable important in the global aggressive markets. Appropriate decision of supplier selection can lead to reducing cost in supply chain management. However, it is becoming more complex because of existing various criteria and involving the suitable experts in the company to make valid decision in accordance with its criteria. In this study, the supplier selection of an Indonesia's leading cement company is analyzed by using one of the popular multi-criteria decision making method, Saaty's analytical network process (ANP). It is employed for the selection of the best alternative among three suppliers of pasted bag. Supplier with the highest rank comes from several major steps from building the relationship between various criteria to rating the alternatives with the help of experts from the company. The results show that, Communication capability, Flexible payment terms, Ability to meet delivery quantities are the most important criteria in the pasted bag supplier selection in Indonesian cement industry with 0.155, 0.110 and 0.1 ANP coefficient respectively. And based on the ANP coefficient values in limit supermatrix, the A2 or supplier 2 had the highest score with 64.7% or 0.13 ANP coefficient. © Published under licence by IOP Publishing Ltd.","ANP; multi criteria decision making; supplier selection; supply chain management","Cement industry; Cements; Commerce; Decision making; Industrial management; Planning; Sustainable development; Analytical network process; Analytical network processes (ANP); Coefficient values; Communication capabilities; Initial process; Multi criteria decision making; Multi-criteria decision making methods; Supplier selection; Supply chain management",,,"Institute of Physics Publishing",17578981,,,Conference Paper,Scopus,2-s2.0-85039755236
"Tueno A., Kerschbaum F., Bernau D., Foresti S.","57200177523;14037777600;51663225700;55238737300;","Selective access for supply chain management in the cloud",2017,"2017 IEEE Conference on Communications and Network Security, CNS 2017",2,"10.1109/CNS.2017.8228710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046551332&doi=10.1109%2fCNS.2017.8228710&partnerID=40&md5=07c7126f6d2f97596738be03f3aa40eb","SAP Research, Karlsruhe, Germany; University of Waterloo, Waterloo, Canada; Università degli Studi di Milano, Crema, 26013, Italy","Tueno, A., SAP Research, Karlsruhe, Germany; Kerschbaum, F., University of Waterloo, Waterloo, Canada; Bernau, D., SAP Research, Karlsruhe, Germany; Foresti, S., Università degli Studi di Milano, Crema, 26013, Italy","Object-level tracking along supply chains, enabled by the low-cost and wide availability of Radio Frequency Identification (RFID) technology, permits companies to collect large amounts of data (e.g., time, location, handling) about the goods they produce. Combining the data collected by the different companies along a supply chain can provide considerable advantages to all of them. However, such a sharing sometimes needs to be selective. Indeed, companies may need to keep some information about their business operations secret. In this paper, we propose a solution that enables selective sharing of data collected along a supply chain. Our solution uses the services offered by cloud providers for sharing data among companies, and relies on selective encryption for enforcing access restrictions over such data. © 2017 IEEE.","Selective encryption; supply chain policy","Cryptography; Radio frequency identification (RFID); Supply chain management; Access restriction; Business operation; Cloud providers; Large amounts of data; Level tracking; Low costs; Radio frequency identification technology; Selective encryption; Network security","H2020: 644579; EC",,"Institute of Electrical and Electronics Engineers Inc.",,9781538606834,,Conference Paper,Scopus,2-s2.0-85046551332
"Zhai D., Chen H., Lin Z., Li Y., Vucetic B.","57219306523;56486250300;8649563900;57200273285;7004279281;","Multi-user scheduling in full-duplex wireless-powered communications with energy accumulation",2017,"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",,"10.1109/SPAWC.2017.8227718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044218979&doi=10.1109%2fSPAWC.2017.8227718&partnerID=40&md5=793347976cd98b07f52b51fc2c999834","School of Electrical and Information Engineering, University of Sydney, Australia","Zhai, D., School of Electrical and Information Engineering, University of Sydney, Australia; Chen, H., School of Electrical and Information Engineering, University of Sydney, Australia; Lin, Z., School of Electrical and Information Engineering, University of Sydney, Australia; Li, Y., School of Electrical and Information Engineering, University of Sydney, Australia; Vucetic, B., School of Electrical and Information Engineering, University of Sydney, Australia","This paper investigates multi-user scheduling in a full-duplex (FD) wireless-powered communication network, consisting of multiple energy harvesting (EH) source nodes (SNs) and one FD hybrid access point (HAP). All SNs have no embedded energy supply and thus need to perform EH before transmitting their data to the HAP. Thanks to the FD capability, the HAP simultaneously receives data from the scheduled SN in the uplink and broadcasts energy-bearing signals to charge other SNs in the downlink. Considering that the EH SNs may not be able to perform effective channel estimation, we develop a new energy status-based multi-user scheduling scheme for the considered system. In the proposed scheme, a single SN with the maximum weighted residual energy is selected to transmit information to the HAP, while all other SNs are scheduled to harvest and accumulate energy. The weight factor of each SN is determined by its average channel quality and the required transmission rate. To evaluate the system performance, we model the dynamic energy charging and discharging processes of each SN as a finite-state Markov chain (MC). The Newton method is applied to achieve the steady state distributions of these mutually coupled MCs. An analytical expression of the system outage probability is derived over Rician fading channels. Simulations are performed to validate the theoretical analysis and illustrate the merits of the proposed user scheduling scheme. © 2017 IEEE.",,"Fading channels; Finite difference method; Markov processes; Newton-Raphson method; Scheduling; Signal processing; Wireless telecommunication systems; Analytical expressions; Discharging process; Full duplex wireless; Multiuser scheduling; Rician fading channel; Steady-state distributions; System outage probability; Wireless-powered communications; Energy harvesting",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509030088,,Conference Paper,Scopus,2-s2.0-85044218979
"Fonseca J.P.S., Silva C.E.A., Sousa A.R., Tavares J.J.P.Z.S.","36132799100;57202502030;36487355400;56892636900;","Strategies for search and rescue multirobot system based on place/transition Petri nets and RFID distributed database",2017,"Proceedings - 2017 LARS 14th Latin American Robotics Symposium and 2017 5th SBR Brazilian Symposium on Robotics, LARS-SBR 2017 - Part of the Robotics Conference 2017",1,"10.1109/SBR-LARS-R.2017.8215338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048521032&doi=10.1109%2fSBR-LARS-R.2017.8215338&partnerID=40&md5=b6d8942b806dfbfbf8691ed5b413fbea","Electrical, Mechanical and Computer Engineering School, Federal University of Goiás, Goiânia, GO, Brazil; Mechanical Engineering Department, Federal University of Uberlândia, Uberlândia, MG, Brazil","Fonseca, J.P.S., Electrical, Mechanical and Computer Engineering School, Federal University of Goiás, Goiânia, GO, Brazil, Mechanical Engineering Department, Federal University of Uberlândia, Uberlândia, MG, Brazil; Silva, C.E.A., Mechanical Engineering Department, Federal University of Uberlândia, Uberlândia, MG, Brazil; Sousa, A.R., Mechanical Engineering Department, Federal University of Uberlândia, Uberlândia, MG, Brazil; Tavares, J.J.P.Z.S., Mechanical Engineering Department, Federal University of Uberlândia, Uberlândia, MG, Brazil","Due to their social influence, several areas research search and rescue field. Mobile robotics is one of them that analyzes and seeks more efficient solutions for search and rescue operations. Multirobot systems are considered to make the procedures more efficient and safe, both for the victim and for the crew. Petri nets are widely diffused for designing discrete events systems, such as networks and protocols, software modeling, workflow and business processes, supply chains and flexible manufacturing systems. Petri nets inside RFID distributed database, or PNRD, is a formal data structure, which relates Petri net with radio frequency identification components. It was initially designed for logistical and manufacturing processes, facilitating automatic monitoring and traceability of spurious events to objects identified by a tag and passing through pre-defined locations where the antennas and readers are installed. On the scope of search and rescue operations on trails and crossings, it is proposed to use a modified PNRD to assist in the traceability of users and, with that, direct the robots' local search in case of people disappearance. The environment is then analyzed, and it is comprised of heterogeneous robotic agents from the viewpoint of modeling agent behavior, embedding models in microcontrollers and monitoring the system's evolution. The initial experimental results of the proposed methodology are presented and analyzed. © 2017 IEEE.",,"Flexible manufacturing systems; Industrial robots; Petri nets; Radio frequency identification (RFID); Robotics; Supply chains; Automatic monitoring; Discrete events systems; Distributed database; Manufacturing process; Multi-robot systems; Place/transition Petri nets; Search and rescue; Search and rescue operations; Distributed database systems",,"Fonseca, J.P.S.; Electrical, Brazil; email: jpsfonseca@ufg.br","Institute of Electrical and Electronics Engineers Inc.",,9781538609569,,Conference Paper,Scopus,2-s2.0-85048521032
"Chen C., Liu J., Li Q., Wang Y., Xiong H., Wu S.","57196286447;57188712632;57188811860;57201217090;7201935465;57201214567;","Warehouse site selection for online retailers in inter-connected warehouse networks",2017,"Proceedings - IEEE International Conference on Data Mining, ICDM",9,"10.1109/ICDM.2017.96","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043979474&doi=10.1109%2fICDM.2017.96&partnerID=40&md5=acda7ba6fb916ef6d9eec83513c9e86b","Rutgers University, United States; Hangzhou LineZone Analytics, LLC, China","Chen, C., Rutgers University, United States; Liu, J., Rutgers University, United States; Li, Q., Rutgers University, United States; Wang, Y., Hangzhou LineZone Analytics, LLC, China; Xiong, H., Rutgers University, United States; Wu, S., Hangzhou LineZone Analytics, LLC, China","Supply chain management aims at delivering goods in the shortest time at the lowest possible price while ensuring the best possible quality and is now vital to the success of the online retail business. Executing effective warehouse site selection has been one of the key challenges in the development of a successful supply chain system. While some effective strategies for warehouse site selection have been identified by the domain experts based on their experiences, the emergence of new ways of collecting fine-grained supply chain data has enabled a new paradigm for warehouse site selection. Indeed, in this paper, we provide a data-smart approach for addressing the connected capacitated warehouse location problem (CCWL), which searches for the minimum total transportation cost of the warehouse network including supplier-warehouses shipping cost, warehouse-customer delivering cost and the cost of warehouse-warehouse inter-transportation. Specifically, we first design a sales distribution prediction model and evaluate the importance of customer logistic service utilities on online market sales demand for online retailers. Then, we propose the E&M algorithm to optimize warehouse locations continuously with much less computation cost. Moreover, the computation cost is further reduced through delivery demand based Hierarchical Clustering which reduces the problem size by grouping delivering cities with close locations. Finally, we validate the proposed method on real-world e-Commerce supply chain data and the selection effect of new warehouses is evaluated in terms of sales improvement with faster delivery and more effective inventory management. © 2017 IEEE.","Clustering; Demand Prediction; E-commerce; Site Selection","Chains; Commerce; Costs; Data mining; Electronic commerce; Inventory control; Location; Sales; Supply chain management; Warehouses; Clustering; Demand prediction; Hier-archical clustering; Inventory management; Sales distributions; Supply chain systems; Transportation cost; Warehouse location problems; Site selection",,,"Institute of Electrical and Electronics Engineers Inc.",15504786,9781538638347,,Conference Paper,Scopus,2-s2.0-85043979474
